walk,l1,l2,x0
787,26,26.000000,26
788,12,12.000000,-12
789,22,22.000000,-22
790,58,58.000000,58
791,30,30.000000,-30
792,76,76.000000,76
793,136,136.000000,136
794,36,36.000000,36
795,66,66.000000,66
796,26,26.000000,-26
797,102,102.000000,-102
798,46,46.000000,46
799,22,22.000000,-22
800,34,34.000000,-34
801,200,200.000000,200
802,44,44.000000,-44
803,20,20.000000,20
804,96,96.000000,-96
805,140,140.000000,-140
806,114,114.000000,-114
807,86,86.000000,86
808,36,36.000000,-36
809,18,18.000000,-18
810,74,74.000000,-74
811,94,94.000000,-94
812,128,128.000000,128
813,30,30.000000,30
814,24,24.000000,24
815,168,168.000000,168
816,114,114.000000,114
817,136,136.000000,136
818,52,52.000000,52
819,50,50.000000,50
820,20,20.000000,-20
821,22,22.000000,-22
822,44,44.000000,44
823,36,36.000000,-36
824,78,78.000000,-78
825,28,28.000000,28
826,50,50.000000,-50
827,124,124.000000,124
828,92,92.000000,92
829,264,264.000000,-264
830,4,4.000000,4
831,160,160.000000,-160
832,50,50.000000,-50
833,80,80.000000,-80
834,84,84.000000,-84
835,54,54.000000,54
836,20,20.000000,20
837,54,54.000000,54
838,80,80.000000,80
839,134,134.000000,134
840,50,50.000000,-50
841,288,288.000000,-288
842,86,86.000000,-86
843,186,186.000000,186
844,86,86.000000,86
845,74,74.000000,-74
846,24,24.000000,-24
847,56,56.000000,56
848,16,16.000000,16
849,266,266.000000,266
850,36,36.000000,-36
851,126,126.000000,-126
852,36,36.000000,-36
853,162,162.000000,162
854,8,8.000000,8
855,178,178.000000,-178
856,86,86.000000,86
857,112,112.000000,-112
858,16,16.000000,-16
859,116,116.000000,-116
860,44,44.000000,44
861,126,126.000000,126
862,8,8.000000,-8
863,104,104.000000,-104
864,12,12.000000,-12
865,88,88.000000,88
866,38,38.000000,38
867,70,70.000000,70
868,94,94.000000,-94
869,24,24.000000,24
870,32,32.000000,32
871,164,164.000000,164
872,6,6.000000,6
873,58,58.000000,-58
874,132,132.000000,132
875,38,38.000000,-38
876,20,20.000000,-20
877,90,90.000000,-90
878,18,18.000000,18
879,24,24.000000,24
880,86,86.000000,86
881,26,26.000000,26
882,144,144.000000,144
883,44,44.000000,-44
884,82,82.000000,82
885,110,110.000000,-110
886,118,118.000000,-118
887,98,98.000000,98
888,52,52.000000,-52
889,216,216.000000,-216
890,48,48.000000,48
891,60,60.000000,60
892,42,42.000000,-42
893,34,34.000000,34
894,148,148.000000,-148
895,68,68.000000,68
896,104,104.000000,104
897,40,40.000000,-40
898,14,14.000000,14
899,162,162.000000,162
900,32,32.000000,32
901,66,66.000000,66
902,118,118.000000,-118
903,46,46.000000,-46
904,32,32.000000,-32
905,34,34.000000,34
906,46,46.000000,-46
907,2,2.000000,-2
908,294,294.000000,294
909,2,2.000000,-2
910,132,132.000000,-132
911,12,12.000000,12
912,40,40.000000,-40
913,54,54.000000,54
914,10,10.000000,-10
915,8,8.000000,8
916,54,54.000000,54
917,12,12.000000,-12
918,190,190.000000,190
919,98,98.000000,-98
920,26,26.000000,26
921,134,134.000000,-134
922,32,32.000000,32
923,36,36.000000,36
924,96,96.000000,-96
925,92,92.000000,92
926,32,32.000000,-32
927,60,60.000000,-60
928,164,164.000000,-164
929,38,38.000000,38
930,120,120.000000,120
931,28,28.000000,-28
932,126,126.000000,-126
933,146,146.000000,146
934,232,232.000000,-232
935,4,4.000000,4
936,246,246.000000,246
937,86,86.000000,86
938,130,130.000000,-130
939,84,84.000000,84
940,150,150.000000,150
941,84,84.000000,84
942,134,134.000000,-134
943,220,220.000000,-220
944,122,122.000000,-122
945,6,6.000000,-6
946,8,8.000000,8
947,106,106.000000,106
948,128,128.000000,128
949,208,208.000000,208
950,12,12.000000,12
951,8,8.000000,-8
952,2,2.000000,2
953,118,118.000000,-118
954,36,36.000000,-36
955,28,28.000000,28
956,104,104.000000,104
957,166,166.000000,166
958,110,110.000000,-110
959,48,48.000000,-48
960,2,2.000000,-2
961,168,168.000000,168
962,92,92.000000,92
963,48,48.000000,-48
964,92,92.000000,92
965,114,114.000000,-114
966,26,26.000000,-26
967,44,44.000000,-44
968,72,72.000000,-72
969,36,36.000000,36
970,12,12.000000,12
971,178,178.000000,178
972,112,112.000000,-112
973,70,70.000000,70
974,92,92.000000,-92
975,62,62.000000,-62
976,60,60.000000,60
977,10,10.000000,-10
978,56,56.000000,-56
979,82,82.000000,-82
980,72,72.000000,-72
981,40,40.000000,-40
982,18,18.000000,-18
983,22,22.000000,22
984,174,174.000000,-174
985,148,148.000000,-148
986,12,12.000000,12
987,6,6.000000,6
988,26,26.000000,-26
989,26,26.000000,26
990,92,92.000000,92
991,28,28.000000,28
992,122,122.000000,122
993,42,42.000000,-42
994,76,76.000000,76
995,106,106.000000,-106
996,22,22.000000,22
997,56,56.000000,-56
998,10,10.000000,-10
999,66,66.000000,-66
