walk,sec0,sec1,sec2,sec3
747,25976,51528,0,22045
748,84670,6988,4809,3220
749,68408,1526,19714,9947
750,41339,7,52153,5879
751,53024,30972,14647,1129
752,233,11,72894,26311
753,54212,16227,28486,468
754,32242,65178,1843,550
755,19097,41713,10481,28278
756,57388,41422,677,0
757,1242,61588,474,36027
758,279,54522,169,44555
759,54029,1,45405,203
760,16062,82757,904,15
761,6304,93137,245,192
762,13473,71762,10999,3280
763,8343,2303,87127,2119
764,97746,486,1256,285
765,20963,61797,9,16683
766,79477,5812,11366,2701
767,54711,17088,27008,602
768,4772,3884,48490,42320
769,0,64652,4,35020
770,26337,41309,16107,15816
771,67826,6556,15752,9506
772,45961,3485,48229,1308
773,83614,14210,50,1858
774,62373,37045,176,41
775,11780,86927,965,131
776,6213,91696,1749,67
777,8843,2012,36064,52299
778,4484,53853,20600,20010
779,8041,0,91396,158
780,20960,67999,397,9837
781,487,3106,102,96148
782,22,7,6503,93124
783,37220,47906,7171,6904
784,7551,53604,7215,30644
785,65161,2862,29608,2106
786,19495,32870,2143,44491
787,47457,1509,12097,38470
788,30142,32058,25958,11407
789,1981,45124,25113,27062
790,14019,39833,7055,38362
791,41821,96,57792,6
792,5603,1707,91019,1478
793,10000,26611,44880,17943
794,43528,4516,18243,32752
795,9152,82968,30,7338
796,6284,36707,37361,18908
797,14670,55439,15054,13812
798,87063,7059,4522,1097
799,533,73610,860,24668
800,32793,32733,12175,21362
801,98008,10,1784,20
802,76034,21699,644,989
803,18618,74130,4931,1480
804,67791,10,31657,15
805,197,521,70898,28154
806,3451,72952,303,22774
807,8,91,79294,19910
808,83896,11343,4266,129
809,32535,4602,44488,17723
810,1190,42176,20633,35237
811,54028,0,45074,0
812,1862,94718,1033,1998
813,81043,8756,5967,3669
814,18577,53138,8792,18739
815,32938,63119,3319,170
816,17744,20,81740,116
817,32527,24982,41070,793
818,209,28223,84,70841
819,20013,9910,68033,1491
820,44922,24643,15949,13779
821,3,14511,68908,16158
822,8428,36733,5016,49628
823,43986,15170,37363,2899
824,422,1,2247,97211
825,14772,7627,9135,67906
826,35797,31977,23925,7294
827,3176,96282,243,95
828,15931,8277,60808,13665
829,858,92558,4,6220
830,51778,37229,3940,6253
831,39814,8499,34074,17045
832,73658,11573,9257,5139
833,20697,15686,25709,36776
834,845,0,10269,88668
835,1,22132,0,77342
836,151,8766,2837,87792
837,633,41940,0,56962
838,17306,12120,38726,31137
839,16006,35075,23765,24325
840,5,16531,7515,75421
841,12948,35480,5115,45604
842,1673,951,1222,95916
843,3623,5972,44373,45301
844,46667,33835,12728,6003
845,2663,81911,13552,1536
846,82156,17665,75,3
847,51997,19696,24587,2690
848,42685,32,56759,252
849,94593,3128,1795,202
850,32523,12723,32562,21626
851,41197,35823,14866,7411
852,2216,162,65470,31368
853,1233,83897,657,13673
854,19632,4494,74525,894
855,125,669,51529,47398
856,3033,7984,22137,65983
857,105,400,27549,71331
858,33945,128,65217,169
859,4,296,0,99663
860,9304,43693,0,46720
861,31527,1388,66494,372
862,156,662,86133,12660
